job_title,company_name,location,date_posted,applicant_count,job_description_lines,country,job,experience
machine learning engineer,tenyks,cambridge england united kingdom,2 weeks ago,,"
as an ml engineer you will wear multiple hats across our ml pipeline including implementing and incorporating state-of-the-art research methods into the product setting up core data processing infrastructure and applying the product on customer datasets and models.we are a small but dedicated team and expect everyone to be self-driven comfortable working in our dynamic and fast-paced environment and embrace the challenges we face.
your missiondevelop and train state-of-the-art deep learning and explainable ai research methodsbuild interfaces between deep learning models and explainable ai approachesreimplement existing methods and ensure they scale to real-world dataset sizesdeploy and stress-test our methods in customer settingsbe on top of the latest research icml iclr neurips constantly look for ways to use ml to serve our customers
what you need to succeed2 - 3 years of professional experience turning ml research into production-grade code within computer vision explainable ai or active learningproficiency with at least 1 deep learning framework tensorflow keras pytorch etcproficiency with python and basic machine learning libraries scikit-learn numpy scipy pandas etcfamiliarity with linux and bash commandsability to turn ideas into deeply reliable and well tested code that six months into the future other people will find easy to comprehend and modify.passion for learning and applying new research.phd or ms degree in computer science statistics applied math electrical engineering operations research econometrics or other related fields.excellent communication relationship skills and a great teammate.
about ustenyks is a ycombinator university of cambridge spin-out inventing the way humanity interacts with ai to protect the world from the terminator! but also to ensure that ai is developed with passion excitement and joy! we are building an mlops monitoring and validation platform that helps ai developers working with computer vision data to build more reliable software faster. specifically our platform helps ml developers understand whats wrong with their software and fix it. imagine all of the tools you use to code but for ai!at tenyks we set our goals ridiculously high and stick together to go further than anywhere previously imaginable. we start small work hard and deliver fast embracing the inevitable obstacles with open hearts because challenges fuel our burning desire for learning. tenyksians make no distinctions between work and play. we simply pursue our vision of excellence leaving others to decide whether we are working or playing.we are a remote-first team consisting of 3 phds and 1 mphil in explainable ai that has now raised several million dollars from leading uk eu and bg investors more on this soon!.we are looking for 10x engineers who are yearning for a challenge worthy of their skills.
﻿how to applysend an email with your cv to our wonderful head of talent georgia at georgia.mason@tenyks.ai subject line: tenyksian reporting for duty
 ",uk,scientist,3.0
machine learning engineer,adarga,london england united kingdom,1 month ago,10.0,"
              adarga is a rapidly scaling organisation and we are growing our technology department. as a machine learning ml engineer within the product team you will bring your expertise to a full stack technology team working to solve natural language processing nlp linguistic challenges. adarga is product focussed and is developing the world’s leading ai software to provide effortless access to knowledge from real world data and enable our customers to make better decisions.

we are looking for an experienced ml engineer with a focus on deploying deep learning models to a production cloud environment and a strong computer science background. you will be hands-on with day-to-day project work focussed on deploying technical solutions to deliver a roadmap which is aligned to core product features. you will also work alongside a product manager to develop new features.

the ml engineer will be responsible within the product team to implement adarga’s ml ops strategy. this is a strategic initiative to ensure repeatability explainability and operational efficiency are ingrained in our ai software.

as the ml engineer you will report to the product tech lead and data science manager.
            
desired skills and experience
essential skills
experience of establishing and managing ml flow / pipelinesexperience deploying data science solutions in a commercial environment and the ability to quantify model deployment success criteriaexcellent awareness of software engineering and coding best practicesexperience of establishing and managing ml flow / pipelinesexperience building and deploying solutions to the cloudml ops research is advancing at a rapid pace an enthusiasm for continual learning is required to maintain your expertiseexcellent communication skills and awareness of project management techniques capable of operating within a team of 6-7 people to influence and develop best practiceability to thrive effectively in predominantly remote working environmentmsc or equivalent professional experience in a ml/data engineering/computer science role
nice to have skills 
experience of modern nlp techniques is an advantageexperience of using data science platforms and frameworks for data tagging model training and benchmarkingan experimentation mindset to solve business problemsknowledge of ai techniques including how to train fine tune and apply deep learning modelsexperience of some of the following technologies or equivalent would be beneficial python seldon helm pachyderm aws or other cloud technologies kubernetes docker knowledge graphs graph databases sql and relational databases.
further information

at adarga we use kanban principles and daily stand-ups to track work tasks and it will be your responsibility to attend these and document your work to ensure it is repeatable. it will be necessary to take part in cross functional and cross team communication to enhance collaboration these will take the form of knowledge shares reading groups chapter group meetings workshops and innovation projects.

you will be set quarterly okr’s and these will be reviewed frequently with your line manager.

as a member of the team you may be required to mentor junior team members contribute to technology discussions support academic and ai community engagements marketing events and recruitment activities.

contact

careers@adarga.ai 

find out more about adarga: https://adarga.ai/careers 

recruitment company statement 

we approach everything with transparency and integrity. to avoid wasting anyone’s time here is our policy on working with recruitment companies:  at present we are not working with any new recruitment agencies because we only want to work directly with individual applicants who can contact our people team through careers@adarga.ai  
        ",uk,scientist,
data science lead,hydrogen group,london england united kingdom,5 days ago,33.0,"
data science lead - analytics - financial services - london remote
 
role: data science lead fixed term contract

salary: £60000 + benefits

location: london based predominantly remote*


*uk based applicants only

 are you an ambitious data scientist looking to make a difference with financial services? do you enjoy being hands-on utilising tools and techniques but are also ready to take the next step in your career?

the role: an exciting opportunity for an experienced data scientist has arisen with our not for profit client. the data science lead will manage the data science and research work programme and present data-driven insight to senior stakeholders. also the lead will manage a team of 2 science data scientists and report directly to the head of data science. they will therefore be expected to take initiative challenge the current processes and status quo and act as a true innovator.

 this role will suit someone truly passionate about data science and dedicated to embedding an engaging supportive and research oriented environment for the team whilst working on a vision with a clear purpose.

 this a ftc with the possibility of developing into a permanent position.

requirements:
 
 · 3+ years experience using data science techniques and predictive modelling to tackle business problems

 · strong technical background including knowledge of coding languages python stats and data visualisation skills

 · excellent analytical skills with an inquisitive nature

 · strong communication and presentation skills.

 · degree with a quantitative focus i.e. statistics economics econometrics or mathematics

 if this sounds like your next challenge please do not hesitate to apply now as we are currently shortlisting!



...


 ",uk,scientist,3.0
senior data science - uk - remote options,jefferson frank,newcastle upon tyne england united kingdom,1 month ago,2.0,"
              senior data scientist - uk

remote options

2 stage interview process

job summary

a technical specialist using data science to develop test and implement predictive models that deliver benefit to the business and the customer. working in a project based environment to drive forward research with tangible benefits.

responsibilities
 working in agile projects involved in the build of predictive models applying data science techniques to model customer behaviours which drive profit and loss signature to help inform business decisions. engage with stakeholders to gather requirements of commercial problems and translate into analytical solutions which ensure wider goals are achieved. translate the output of complex analytical solutions to stakeholders into transparent and actionable business insight to gain buy-in to implement. aid junior data science colleagues and be an advocate for data science across the customer division. keep abreast of data science innovation ensuring the techniques used are the most appropriate for the situation and the tools are best suited for the job. be a knowledge point for queries regarding predictive analytics. be innovative and think about solutions from a different perspective. explore new sources of data techniques and implementation routes. feed into the analytics learning environment with continual development of new techniques collaborate with other data scientists to deliver the best solutions to tackle use cases that will bring a step change to the business. ensure that our models are built and used within a robust model governance framework. provide support to the other areas of analytics and the wider customer division to enable them to meet objectives.
people budgets and other resources

i am accountable for in my job
 support the analytics sandpit and the learning environment with reference to technology. coaching peers to enhance career development. project management of analytical solutions from discovery to deployment.
experience relevant for this job
 using data science and predictive modelling to tackle business problems ideally in banking commercial or credit risk. background in maths/stats computer science.
* grasp of profit / loss drivers ideally but not essential*
 working in a project environment with time bound deliverables
 ",uk,scientist,
data scientist,dice,united states,3 weeks ago,,"
              dice is the leading career destination for tech experts at every stage of their careers. our client west coast consulting llc is seeking the following. apply via dice today!

skills:
 experienced in either programming languages such as python alteryx and data visualization tools such as tableau. the ability to communicate effectively in writing including conveying complex information. experience working with large datasets. critical thinking and intellectual curiosity with a desire for continuous learning. hard-working passionate teammate who thrives in an agile environment.

education/experience:
 bs degree with a quantitative focus in computer science information systems or equivalent. 5+ years demonstrated experience in data and analytics. provided by dice


 ",usa,scientist,5.0
data scientist remote,dice,united states,5 days ago,56.0,"
              dice is the leading career destination for tech experts at every stage of their careers. our client ssi people is seeking the following. apply via dice today!

title : data scientist 

location : new york remote

duration : 6 months with possible extension

contract type : w2 

description:
we are looking for an experienced data scientist that will join the content integrity product area at spotify to help us improve on the quality of our content takedowns.our squad synapse is tasked with proactively moderating our entire catalog and elevating dangerous content quickly and efficiently to reviewers and automatic takedown processes.you will work with an already large dataset and help us improve on our existing logic to elevate dangerous content.you will be focused on both precision and recall versioning our logic and improving the feedback loop into our system with the opportunity to expand to further projects related to content moderation.above all your work will impact the way the world experiences content safely.

what youll do:
work with a data pipeline and bigquery dataset to elevate dangerous content to downstream consumersversion our logic and track precision and recall across versionsimprove the feedback loop that we receive from downstream teams after elevating said contentwork with an existing team and potentially another data scientist during your timeeither work remotely or from our nyc office but on a us east coast timezone

who you are:
5+ years of relevant experience analyzing complex data with sql python or ryou are curious and not afraid of exploring new domains.you enjoy partnering with others to define and develop new opportunitiesyou are an effective communicator.you focus just as much on how you deliver your findings as you do on the technical craft of uncovering new insights.you have a strong understanding of statistics and data science methods such as forecasting ab-testing or causal inferenceexperience creating and scheduling datasets is highly valuedknowledge of google’s bigquery is a pluswe are proud to foster a workplace free from discrimination.we strongly believe that diversity of experience perspectives and background will lead to a better environment for our employees and a better product for our users and our creators.this is something we value deeply and we encourage everyone to come be a part of changing the way the world listens to music. - provided by dice

 ",usa,scientist,5.0
data scientist - remote,dice,united states,3 weeks ago,2.0,"
              dice is the leading career destination for tech experts at every stage of their careers. our client xoriant corporation is seeking the following. apply via dice today!

position : data scientist

location: remote

responsibilities
have a profound understanding of the state of the art of a multitude of fields in artificial intelligence including but not limited to nlp probabilistic graphical models time-series analysis and weak supervised learning among othersperform or lead the performance of exploratory data analysis to understand relationships and opportunities to influence outcomes while being able to quickly iterate common feature transformation and model types to find the best predictive modelsdevelop and document proofs of concept to verify your ideas including counterfactual explanations for interpretabilityclose the loop to make sure that the proposed solution is performing as it should and is correctly understoodcollaborate with subject matter experts to obtain a deep understanding of the underlying business problem and to define and refine the corresponding technical solution

qualifications
degree in a quantitative field computer science engineering mathematics physics machine learning statisticsexpert understanding of python and other common languagesdeep understanding of machine learning model development life cyclesextensive experience using common machine learning and deep learning libraries and techniques including tensorflow pytorch and big data platformsextensive experience with cloud-based ecosystems azure google cloud platform aws

if you are interested or know someone who is looking out for new opportunity please contact me.

thanks & regards

ahmed sayyed

d :

e :

xoriant is an equal opportunity employer. no person shall be excluded from consideration for employment because of race ethnicity religion caste gender gender identity sexual orientation marital status national origin age disability or veteran status.
 provided by dice


 ",usa,scientist,
data scientiest remote,dice,united states,1 hour ago,8.0,"
              dice is the leading career destination for tech experts at every stage of their careers. our client bhuvi it solutions is seeking the following. apply via dice today!

we are looking for a data scientist who will support our product sales leadership and marketing teams with insights gained from analyzing company data.

experience: 7 to 10 years

work authorization: onlywork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.mine and analyze data from company databases to drive optimization and improvement of product development marketing techniques and business strategies.assess the effectiveness and accuracy of new data sources and data gathering techniques.develop custom data models and algorithms to apply to data sets.use predictive modeling to increase and optimize customer experiences revenue generation ad targeting and other business outcomes.develop company a/b testing framework and test model quality.coordinate with different functional teams to implement models and monitor outcomes.develop processes and tools to monitor and analyze model performance and data accuracy.strong problem solving skills with an emphasis on product development.experience using statistical computer languages r python slq etc. to manipulate data and draw insights from large data sets.experience working with and creating data architectures.knowledge of a variety of machine learning techniques clustering decision tree learning artificial neural networks etc. and their real-world advantages/drawbacks.knowledge of advanced statistical techniques and concepts regression properties of distributions statistical tests and proper usage etc. and experience with applications.excellent written and verbal communication skills for coordinating across teams.a drive to learn and master new technologies and techniques.we’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models has a master’s or phd in statistics mathematics computer science or another quantitative field and is familiar with the following software/tools:coding knowledge and experience with several languages: c c++ javajavascript etc.knowledge and experience in statistical and data mining techniques: glm/regression random forest boosting trees text mining social network analysis etc.experience querying databases and using statistical computer languages: r python slq etc.experience using web services: redshift s3 spark digitalocean etc.experience creating and using advanced machine learning algorithms and statistics: regression simulation scenario analysis modeling clustering decision trees neural networks etc.experience analyzing data from 3rd party providers: google analytics site catalyst coremetrics adwords crimson hexagon facebook insights etc.experience with distributed data/computing tools: map/reduce hadoop hive spark gurobi mysql etc.experience visualizing/presenting data for stakeholders using: periscope business objects d3 ggplot etc. - provided by dice

 ",usa,scientist,7.0
machine learning engineer,dice,united states,2 days ago,15.0,"
              dice is the leading career destination for tech experts at every stage of their careers. our client vrn technologies is seeking the following. apply via dice today!

machine learning engineer

location: remote

12 months+

experience: 5yrs +

skill:

python jupyterlab domino data lab

aws sagemaker

aws neptune

apache nifi / kafka
 provided by dice


 ",usa,scientist,
data scientist remote,amgen,thousand oaks ca,4 weeks ago,32.0,"
career category


information systems


job description


how might you defy imagination?

you’ve earned your degree. how will you use that achievement to reach your goals? do more with the knowledge you’ve worked hard to acquire and the passion you already have. at amgen our shared mission—to serve patients—drives all that we do. it is key to our becoming one of the world’s leading biotechnology companies reaching over 10 million patients worldwide. become the professional you are meant to be in this meaningful role.

data scientist remote

live

what you will do.

let’s do this. let’s change the world.

amgen is a leading global biotechnology company with a mission to serve patients around the world. the new operations digital strategy and capabilities organization at amgen is looking for an experienced and highly motivated data scientist with a dynamic customer-focused data product mentality and a passion for linked data concepts data governance and model-first design. we are convinced in the importance of meaningful explainable reproducible and maintainable data as the foundation for insight-creation and decision-making. you will play an integral role in shaping our journey toward data-centricity as a member of a highly collaborative cross-functional digital innovation unit. together we will weave a network of durable data products for operations: thoughtfully-designed connected high quality contextualized data assets that collectively power operations business destinations. youll work at the crossroads of technology and value-driving business solutions to lead the way in how data can enable amgen to better serve patients.

in this vital role an ideal candidate will have the following characteristics:
you are excited to work within an operations digital innovation unit to help grow a connected data fabric that makes data findable accessible interoperable and reusable across end-to-end business processes and enables a data-centric transformation.you have an unwavering passion for understanding wrangling assembling and organizing data to unlock its potential to drive advanced analytics visualization and novel insights generation.you thrive in an agile dynamic environment to facilitate conversations with business partners to understand their data gaps and challenges.you are curious to partner with business and information technologies teams to shape progressive approaches to cooperative data governance within an enterprise data fabric.you are a staunch advocate for data governance to improve the quality reliability and standardization of data as a foundational prerequisite for advanced analytics and business insight.you enjoy immersing yourself in our business its people and in building bridges between data consumers and data producers. you believe that the co-creation of business information models can serve as a powerful alignment tool to describe how the business sees the world.you are an excellent communicator with the ability to distill complex issues and clearly articulate solutions to diverse audiences.you have dynamic social skills situational awareness and the ability to influence motivate lead and work in a multidisciplinary setting.you have outstanding work ethics and strong motivation to positively impact the lives of patients

responsibilities
advocate for a strategic shift to data-centricity to achieve durable value from reusable data products for operations.partner closely with business users and semantic modelers to define and understand deeply the meaning of the data within the business context.collaborate with our data scientists and subject matter experts to help shape a knowledge graph that represents how the business sees the world and how it leads to value for operations business objectives.develop and publish best practices that define operations’ data standards for terminology structure conventions.establish new controlled terminologies and reference data that enable construction of a reliable linked data architecture.explore new ways through the lens of data-centricity to transition traditional data governance approaches to a more progressive and data customer/consumer-focused operating modelmanage delivery of a continuous iterative flow of operations data products and improvements to meet business needs.support business case development with respect to data readiness and alignment to data strategy.

win

what we expect of you

we are all different yet we all use our unique contributions to serve patients. the dynamic professional we seek is a [type of person] with these qualifications.

basic qualifications
doctorate degree ormaster’s degree and 3 years of engineering/data sciences/business analytics and/or life sciences experience orbachelor’s degree and 5 years of engineering/data sciences/business analytics and/or life sciences experience orassociate’s degree and 10 years of engineering/data sciences/business analytics and/or life sciences experience orhigh diploma / ged and 12 years of engineering/data sciences/business analytics and/or life sciences experience or

preferred qualifications
solid understanding of linked data concepts f.a.i.r. data principles and knowledge graphs for connecting cross-functional business dataexceptional interpersonal business analysis facilitation and communication skills especially as applied to elucidating usage of business datahighly proficient at facilitating capturing and organizing collaborative discussion through tools such as miro lucidspark lucidchart and confluenceengaging visual presentation style with a compelling ability of data storytellingstrong appreciation for customer- and user-centric product design thinkinghands-on data analysis and wrangling experience including sql-based data transformation and solving integration challenges arising from differences in data structure meaning or terminologyfamiliar with the application of data governance ownership stewardship and cataloging to improve data quality and transparency. awareness of current industry trends in this area is a major plus.well-versed in the use and benefit of controlled terminologies and taxonomies to business data standardizationcomfortable working in a fast-paced collaborative agile team environmentexperience working in manufacturing supply chain pharma/biotech or other product manufacturing settings

thrive

some of the vast rewards of working here

as we work to develop treatments that take care of others we also work to care for our teammates’ professional and personal growth and well-being.
full support and career-development resources to expand your skills enhance your expertise and maximize your potential along your career journeya diverse and inclusive community of belonging where teammates are empowered to bring ideas to the table and actgenerous total rewards plan—comprising health finance and wealth work/life balance and career benefits—with compensation and benefits rated above 4 stars out of 5 on glassdoor

apply now for a career that defies imagination

objects in your future are closer than they appear. join us.

careers.amgen.com
 ",usa,scientist,
data scientist - 100% remote,dice,united states,1 hour ago,75.0,"
              dice is the leading career destination for tech experts at every stage of their careers. our client provish consulting is seeking the following. apply via dice today!

data scientist

100% remote

position description

this position is responsible for business consulting activities for the data strategy and analytics teams within our client organizations to monitor and assist in improving their analytics eco system. we need someone with a creative problem-solving skills to work on our client’s business opportunities. our data scientist will work to understand high value opportunities and identify/build potential solutions which often involve discovering new insights by transforming data into intuitive & interactive visualizations or applications

your future duties and responsibilities

serve as an expert in translating complex data into key strategy insights and valuable actions.
 discover business narratives told by the data and present them to other scientists business stakeholders and managers at various levels. develop and test heuristics. create and run statistic/ml models. perform data exploration and data mining. create business intelligence dashboards visualizations and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced actionable and have material impact in addition to being well-supported by analytical models and data.

required qualifications to be successful in this role

work experience in addition to degree: 3 - 5 years of data engineering/science related activities.
 graduation from a four-year college or university with a degree in statistics physics mathematics engineering computer science or management of information systems. expert knowledge of sas python machine learning or r working knowledge of statistics programming and predictive modeling. working knowledge of code writing big data/hadoop/nosql and experience with large datasets

thanks and you have a great day

sreenath arcot

provish consulting inc.

7301 carmel executive park drive 

suite 200 charlotte nc 28226

direct:

email :

www.provish.com
 provided by dice


 ",usa,scientist,
data scientist - remote,talentify.io,united states,22 hours ago,46.0,"
              talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ats.

at hiring company company we believe freedom of movement drives human progress. we also believe in providing you with the freedom to define and realize your dreams! with our incredible plans for the future of mobility we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.

creating the future of smart mobility requires the intelligent use of data metrics and analytics. that’s where you can make an impact as part of our global data insight & analytics team. we are the trusted advisors that enable ford to clearly see business conditions customer needs and the competitive landscape. with our support key decision makers act in meaningful positive ways. join us and use your data expertise and analytical skills to drive evidence-based timely decision making!

what you’ll be able to do

as part of the customer lifetime value modeling team you will support business customers including marketing & sales ford credit customer experience and others. projects may include building models of customer behaviors and preferences to improve clv predictions building tools to help business customers incorporate clv into their decision-making performing ad-hoc analytics requests to understand how various ford programs and initiatives are impacting clv and more.
utilize analytical statistical and programming skills to collect transform analyze and interpret large data sets.develop predictive models of customer behavior using appropriate modeling techniques.adhere to analytics protocol and technical governance .ensure work product is of a high quality produced in line with established timelines and addresses the business need.collaborate with data factory & product engineering teams to ensure access to and knowledge of most appropriate necessary data sources.execute both descriptive and inferential analyses in a timely manner. effectively communicate and present technical material to a broad audience.
 ",usa,scientist,
data scientist - remote,quest analytics llc,united states,1 month ago,15.0,"
              quest analytics is one of the fastest growing companies in the healthcare software space in the us. healthcare providers and insurance companies rely on our software. we do the important work of providing access to healthcare for all americans!

in addition to meaningful work you will also get
company paid employee medical hdhp dental and visionworkplace flexibility - choice of working in the office hybrid or remotecompetitive salary and success sharing bonusflexible vacation with no cap sick time and holidays

we are growing and looking for a data scientist to join our team in either overland park ks or on a remote basis. this data scientist will provide support to the team that is responsible for managing and mastering the healthcare provider data used to measure the accuracy adequacy and accessibility of health plan networks.  the right candidate will help quest discover high value insights and information hidden in vast complex data that can be applied to solving business problems and building better products. your primary focus will be in applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our products. 

in this role you will:
selecting features building and optimizing classifiers using machine learning techniques  data mining using state-of-the-art methods  extending company’s data with third party sources of information when needed  enhancing data collection procedures to include information that is relevant for building analytic systems  processing cleansing and verifying the integrity of data used for analysis  doing ad-hoc analysis and presenting results in a clear manner  creating automated anomaly detection systems and constant tracking of its performance  evaluate existing algorithms using various technique such as intrusion detection develop metrics for evaluating internal and external data sources 

what we are looking for:
master’s degree in data science a minimum of 2 years’ experience in a data science position required excellent understanding of machine learning techniques and algorithms such as k-nn naive bayes svm decision forests regression classification natural language processing association rule learning intrusion detection models etc.  intermediate to advanced python knowledge of data frames intermediate to advanced experience with spark and scala intermediate sql great communication skills  good applied statistics skills such as statistical testing distribution estimation regression etc.  good scripting and programming skills   data-oriented personality  experience with healthcare data a plus excellent troubleshooting listening and problem-solving skills 

we are not currently engaging with outside agencies on this role.

ready to evolve?

we want smart driven individuals to help us create quest analytics future. if you invest yourself in your work live with enthusiasm and thrive on results we want to know you. bring your entrepreneurial spirit to a company that won’t limit you to a job description. at quest analytics your ideas will be listened to and valued your unique talents appreciated and your contribution rewarded. you’ll enjoy a healthy work/life balance with workplace flexibility a generous salary & benefits package and plenty of room to grow personally and professionally. and you’ll have the opportunity to shape the future of an industry with systemic problems — working with more than 400 healthcare networks and nearly 500000 providers to help improve access to healthcare in america.

whats in it for you:

great benefits package with:
 competitive salary and success sharing bonus 100% paid hdhp health plan dental vision for employee tier and cost-sharing for all other tiers company matching 401k and hsa flexible pto without limits sick time and 10 holidays paid life short & long term disability paid maternity / paternity and much more wellness programs flexible work arrangements so you can balance work/life the opportunity to get in on ground floor and grow and learn as the company grows work in a fun flexible casual environment with monthly culture club activities workplace flexibility - choice of working in the office hybrid or remote for those who chose to come into an office we offer free gourmet coffee to fuel the brainpower necessary to conquer your goals and free drinks and snacks.

apply today!

visa sponsorship is not available at this time.

quest analytics provides equal employment opportunities to all people without regard to race color religion sex national origin ancestry marital status veteran status age disability sexual orientation or gender identity or expression or any other legally protected category.

applicants must be legally authorized to work in the united states. verification of employment eligibility will be required at the time of hire.

 ",usa,scientist,
data scientist  initial remote  full time,dice,austin tx,6 days ago,28.0,"
              dice is the leading career destination for tech experts at every stage of their careers. our client clps global is seeking the following. apply via dice today!job description:7+ years of hands-on experience in data science & statistical modeling.proficiency in descriptive & diagnostic analytics with the ability to provide functional analytics consulting.extensive experience deriving insights from large data sets.experience in ambiguous problem solving and end-to-end solutioning.experience articulating business questions and using quantitative techniques to arrive at a solution using available data.solid foundation of statistical modeling and machine learning algorithms correlation classification regression clustering etc and experimental design a/b testing etc.. experience with advanced predictive analytics techniques.experience in augmented analytics.advanced knowledge in bi architecture.proficient in bi queries dashboarding reports & visualizations.advanced knowledge in sql handling large amounts of data. hands-on experience in r and/or python. hands-on experience in google analytics.hands-on experience in google adwords.strong communication and documentation skills.strong ability to work collaboratively with a team as well as independently. - provided by dice

 ",usa,scientist,
machine learning engineer- 100% remote,dice,united states,3 weeks ago,,"
              dice is the leading career destination for tech experts at every stage of their careers. our client hirex is seeking the following. apply via dice today!

job role : machine learning engineer

location : 100% remote

duration: 6-12 months

skills:
8 to 10 years of experienceexperience applying various machine learning techniques and understanding the key parameters that affect their performance.experience developing experimental and analytic plans for data modeling processes use of strong baselines and the ability to accurately determine cause and effect relationships.

understanding on statistical evaluation & applied math. hands on with any of these products python/r/sas
 programming language: preferred - scala & python java is an additional add-on implementation knowledge in ml frameworks one or more: mlflow & pytorch

regards

gulshan
 provided by dice


 ",usa,scientist,
data scientist,general dynamics information technology,united states,1 month ago,4.0,"
type of requisition

job description:

pipeline

clearance level must currently possess

none

clearance level must be able to obtain

none

suitability

no suitability required

public trust/other required

none

job family

data science

job description

experience leading big data analytics and big data platforms like hadoop.
lead data sciences research and analysis projects providing oversight and course corrections as required.oversee and design research and analysis to improve business performance across and within multiple departments.consult with dod leadership to understand their changing business requirements.leverage big data to discover patterns and solve strategic analytic business problems using massive structured and unstructured data sets in a hadoop environment.oversee and develop analytic capabilities e.g. models and processes that drive better outcomes for dod customer.review and report on project metrics to benchmark effectiveness.review project models to ensure adherence to standards.build logical models and work with database administrators to understand and build the physical model and overall data architecture.work closely with database administrators and developers to ensure that business models are accurately implemented in application systems.provide education on the naming and modeling standards; assists with modeling specific constructs.ensure data quality alignment.work on and across multiple projects to ensure consistency in naming conventions and promotes the sharing and reuse of data across applications and business areas.ensure that data analysis goals are met.be a thought and people leader within the program.be able to clearly communicate with team members.make thoughtful and reasonable decisions.be professional in taking management actions and communicating actions to team members.support business analysts and developers on project teams as they document their data requirements and establish thorough specifications.serve as a thought leader and strong communicator with senior leaders sponsors and other stakeholders.coordinate and conduct facilitation sessions to gather requirements.contribute to data management internal projects as well as the upgrading of standards and best practice guidelines.develop and execute ideas for improved business decisions across multiple components of the dod.
qualifications
master’s degree in computer science mathematics management science engineering economics social science operations research or related:seven 7 years’ experience in data science advanced analytics and model building experience and education considered togetherexperience managing or supervising personnel or projectsexperience leading in a team environmentdod experience is desiredtop secret clearance is required
location: seaside ca washington dc/virginia

the likely salary range for this position is $103272 - $172453 this is not however a guarantee of compensation or salary; rather salary will be set based on experience geographic location and possibly contractual requirements and could fall outside of this range.

scheduled weekly hours

40

travel required

less than 10%

telecommuting options

remote

work location:

any location / remote

additional work locations:

total rewards at gdit

our benefits package for all us-based employees includes a variety of medical plan options some with health savings accounts dental plan options a vision plan and a 401k plan offering the ability to contribute both pre and post-tax dollars up to the irs annual limits and receive a company match. to encourage work/life balance gdit offers employees full flex work weeks where possible and a variety of paid time off plans including vacation sick and personal time holidays paid parental military bereavement and jury duty leave. to ensure our employees are able to protect their income other offerings such as short and long-term disability benefits life accidental death and dismemberment personal accident critical illness and business travel and accident insurance are provided or available. we regularly review our total rewards package to ensure our offerings are competitive and reflect what our employees have told us they value most.

covid-19 vaccination: gdit does not have a vaccination mandate applicable to all employees. to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid-19. vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements.

we are gdit. the people supporting some of the most complex government defense and intelligence projects across the country. we deliver. bringing the expertise needed to understand and advance critical missions. we transform. shifting the ways clients invest in integrate and innovate technology solutions. we ensure today is safe and tomorrow is smarter. we are there. on the ground beside our clients in the lab and everywhere in between. offering the technology transformations strategy and mission services needed to get the job done.

gdit is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class.
 ",usa,scientist,
